Date,Open,High,Low,Close,Volume,Adj Close
8/22/2013,124.309998,125.110001,124.160004,124.769997,184600,124.769997
8/21/2013,124.199997,124.5,122.540001,122.860001,437300,122.860001
8/20/2013,126.290001,127.190002,125.940002,126.769997,299900,126.769997
8/19/2013,128.880005,129.130005,127.889999,128.199997,196100,128.199997
8/16/2013,128.600006,129.610001,128.389999,128.880005,282600,128.880005
8/15/2013,128.949997,128.960007,127,127.449997,335400,127.449997
8/14/2013,129.729996,129.970001,129.039993,129.270004,136700,129.270004
8/13/2013,128.729996,130.550003,128.460007,130.199997,296300,130.199997
8/12/2013,128.5,128.5,127.730003,128.320007,294400,128.320007
8/9/2013,128.5,128.729996,127.300003,127.57,318700,127.57
8/8/2013,127.989998,128.479996,127.139999,128.029999,381700,128.029999
8/7/2013,128.509995,129.050003,127.5,127.559998,593400,127.559998
8/6/2013,129.679993,130.029999,129.100006,129.699997,494600,129.699997
8/5/2013,129.169998,129.970001,128.160004,129.509995,792600,129.509995
8/2/2013,129.820007,134.940002,129.050003,134.330002,1166200,134.330002
8/1/2013,126.25,126.870003,125.900002,126.239998,622900,126.239998
7/31/2013,122.209999,122.459999,121.239998,121.900002,363700,121.900002
7/30/2013,123.010002,123.339996,122.349998,122.589996,437900,122.589996
7/29/2013,120.82,121.339996,120.110001,120.25,650900,120.25
7/26/2013,124.559998,124.559998,122.919998,124.489998,616800,124.489998
7/25/2013,126.879997,127.68,126.300003,127.550003,302200,127.550003
7/24/2013,129.360001,129.389999,128.070007,128.429993,300100,128.429993
7/23/2013,130.350006,130.350006,129.050003,129.479996,315500,129.479996
7/22/2013,130,130.779999,130,130.300003,301500,130.300003
7/19/2013,130,130.539993,129.779999,130.360001,359300,130.360001
7/18/2013,130.029999,131.130005,129.779999,130.800003,480000,130.800003
7/17/2013,130.809998,131.5,129.710007,130.839996,634200,130.839996
7/16/2013,129.380005,129.460007,128.080002,128.910004,636000,128.910004
7/15/2013,129.990005,129.990005,129.199997,129.639999,241700,129.639999
7/12/2013,129.220001,129.690002,129.070007,129.690002,297400,129.690002
7/11/2013,128.529999,129.419998,128.270004,129.289993,346000,129.289993
7/10/2013,126.730003,127.010002,126.260002,126.769997,290900,126.769997
7/9/2013,126.660004,126.660004,125.480003,126.199997,454700,126.199997
7/8/2013,124.879997,125.199997,124.360001,124.900002,324400,124.900002
7/5/2013,125.919998,125.980003,124.349998,125.269997,335600,125.269997
7/3/2013,123.510002,124.519997,123.120003,124.519997,170300,124.519997
7/2/2013,124.699997,125.339996,123.879997,124.470001,620300,124.470001
7/1/2013,122.389999,123.43,121.260002,123.019997,604100,123.019997
6/28/2013,121.309998,121.669998,120.360001,120.660004,466100,120.660004
6/27/2013,120.699997,122.040001,120.43,121.739998,641700,121.739998
6/26/2013,117.830002,118.099998,116.919998,118.059998,544900,118.059998
6/25/2013,117.449997,117.790001,116.629997,117.290001,320200,117.290001
6/24/2013,117.349998,117.669998,115.279999,116.529999,653500,116.529999
6/21/2013,119.379997,119.760002,117.599998,119.550003,765500,119.550003
6/20/2013,118.970001,119.139999,116.57,117.059998,747000,117.059998
6/19/2013,122.699997,123.18,120.709999,120.779999,616500,120.779999
6/18/2013,122.440002,122.940002,121.900002,122.290001,721300,122.290001
6/17/2013,120.050003,120.889999,119.540001,120.379997,586200,120.379997
6/14/2013,118.690002,119.260002,116.790001,117.379997,591500,117.379997
6/13/2013,119.169998,121.349998,119.010002,121.300003,449600,121.300003
6/12/2013,120.959999,121.330002,118.370003,119.129997,595500,119.129997
6/11/2013,120.339996,121.269997,119.269997,119.919998,861800,119.919998
6/10/2013,121.68,121.830002,120.410004,121.150002,857200,121.150002
6/7/2013,114.470001,117.540001,113.589996,117.059998,1392700,117.059998
6/6/2013,113.519997,114.5,112.279999,114.480003,695700,114.480003
6/5/2013,115.260002,116.019997,114.540001,114.870003,514700,114.870003
6/4/2013,118.309998,118.889999,117.089996,118.260002,618800,118.260002
6/3/2013,115.580002,116.349998,113.639999,116.209999,1238900,116.209999
5/31/2013,118.43,119.470001,117.489998,117.550003,657000,117.550003
5/30/2013,120.32,121.160004,120.209999,120.459999,558700,120.459999
5/29/2013,120.300003,120.400002,118.709999,119.57,930500,119.57
5/28/2013,122.779999,124.419998,122.75,123.18,658700,123.18
5/24/2013,121,121.760002,119.540001,120.529999,1252400,120.529999
5/23/2013,122.480003,124.980003,119.889999,124.660004,1491500,124.660004
5/22/2013,130,130.990005,127.510002,127.839996,917700,127.839996
5/21/2013,129.690002,129.979996,129.119995,129.720001,513100,129.720001
5/20/2013,128.149994,128.979996,128.100006,128.649994,667600,128.649994
5/17/2013,126.32,127.470001,126.279999,127.32,605600,127.32
5/16/2013,126,126.239998,124.879997,125.120003,571900,125.120003
5/15/2013,125.610001,126.599998,125.379997,126.599998,807900,126.599998
5/14/2013,122.970001,124.379997,122.5,124.150002,1332800,124.150002
5/13/2013,123.279999,124.849998,123.080002,124.830002,1251400,124.830002
5/10/2013,119.809998,121.379997,119.589996,121.279999,1370800,121.279999
5/9/2013,117.470001,118.68,117.160004,118.139999,1061800,118.139999
5/8/2013,117.739998,119.75,116.559998,119.699997,946500,119.699997
5/7/2013,116.519997,117.57,115.959999,116.080002,560500,116.080002
5/6/2013,115,115.25,114.839996,115.029999,241700,115.029999
5/3/2013,114.949997,115.410004,114.849998,114.919998,437600,114.919998
5/2/2013,113.089996,114.739998,112.839996,114.379997,461000,114.379997
5/1/2013,114.269997,114.75,113.68,113.720001,632000,113.720001
4/30/2013,115.910004,116.389999,115.82,116.300003,334700,116.300003
4/29/2013,115.959999,116.82,115.790001,116.540001,172900,116.540001
4/26/2013,115.349998,115.919998,115.089996,115.480003,387700,115.480003
4/25/2013,115.279999,116.290001,114.580002,115.839996,544900,115.839996
4/24/2013,113.440002,114.290001,113.18,113.690002,622200,113.690002
4/23/2013,112.220001,113.169998,112.129997,112.940002,705100,112.940002
4/22/2013,111.559998,112.690002,111.279999,112.230003,773600,112.230003
4/19/2013,111.690002,112.400002,111.230003,112.260002,372300,112.260002
4/18/2013,111.32,111.32,110.389999,110.550003,312200,110.550003
4/17/2013,112.739998,112.919998,111.339996,111.660004,646800,111.660004
4/16/2013,112.480003,112.830002,112.07,112.510002,327500,112.510002
4/15/2013,112.290001,113,111,111.089996,567700,111.089996
4/12/2013,113.260002,113.620003,112,113.099998,580800,113.099998
4/11/2013,112.5,113.639999,111.82,113.279999,2010500,113.279999
4/10/2013,108.650002,108.980003,108.389999,108.779999,592600,108.779999
4/9/2013,107.150002,107.949997,106.839996,107.519997,686500,107.519997
4/8/2013,107.5,108.739998,107.169998,108.709999,1075600,108.709999
4/5/2013,105.279999,106.720001,104.959999,106.5,1578300,106.5
4/4/2013,105.239998,105.889999,104.82,105.629997,1709400,105.629997
4/3/2013,102.489998,102.589996,100.660004,100.879997,559800,100.879997
4/2/2013,99.82,100.360001,99.699997,99.949997,498800,99.949997
4/1/2013,101.879997,101.889999,100.879997,101.220001,334900,101.220001
3/28/2013,102.639999,102.68,102.199997,102.639999,327200,102.639999
3/27/2013,102.620003,103.199997,102.43,103.099998,657700,103.099998
3/26/2013,103.839996,103.959999,103.129997,103.599998,277800,103.599998
3/25/2013,104.269997,104.290001,102.5,103.309998,295500,103.309998
3/22/2013,103.68,104.050003,103.610001,103.989998,175500,103.989998
3/21/2013,104.300003,104.300003,103.25,103.529999,342100,103.529999
3/20/2013,103.400002,104.639999,103.400002,104.279999,308800,104.279999
3/19/2013,103.690002,104,102.599998,103.150002,242400,103.150002
3/18/2013,103.43,103.620003,102.699997,102.870003,481500,102.870003
3/15/2013,104.139999,104.199997,103.510002,103.93,285600,103.93
3/14/2013,103.07,103.639999,103.040001,103.540001,196600,103.540001
3/13/2013,102.660004,103.25,102.529999,102.949997,180500,102.949997
3/12/2013,102.940002,103.440002,102.540001,102.760002,398500,102.760002
3/11/2013,103.900002,104.190002,103.730003,104.190002,174300,104.190002
3/8/2013,103.419998,104,103,103.690002,420600,103.690002
3/7/2013,103.199997,103.830002,103.099998,103.260002,399000,103.260002
3/6/2013,104.230003,104.620003,103.720001,104.449997,606300,104.449997
3/5/2013,102.730003,103.800003,102.540001,103.300003,2210200,103.300003
3/4/2013,102.010002,102.459999,101.480003,102.440002,244900,102.440002
3/1/2013,102.330002,102.959999,102,102.690002,925800,102.690002
2/28/2013,102.889999,103.080002,102.07,102.599998,538800,102.599998
2/27/2013,100.489998,101.800003,100.309998,101.610001,434600,101.610001
